"Municipio","Año","Tipo de delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total"
"Acatlán",2021,"Hostigamiento sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Incumplimiento de obligaciones de asistencia familiar",0,0,0,0,0,0,0,1,0,1,0,1,3
"Acatlán",2021,"Lesiones",2,1,1,5,2,1,1,0,1,1,0,2,17
"Acatlán",2021,"Narcomenudeo",0,0,0,0,0,0,0,1,0,0,1,0,2
"Acatlán",2021,"Otros delitos contra el patrimonio",0,0,0,0,0,0,0,0,0,0,0,1,1
"Acatlán",2021,"Otros delitos contra la familia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Otros delitos contra la sociedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Otros delitos del Fuero Común",1,0,0,1,0,2,0,0,13,12,5,22,56
"Acatlán",2021,"Otros delitos que atentan contra la libertad personal",0,0,2,0,1,0,0,0,0,0,1,0,4
"Acatlán",2021,"Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acatlán",2021,"Otros delitos que atentan contra la vida y la integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Rapto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Robo",0,2,2,6,3,4,2,2,1,1,1,0,24
"Acatlán",2021,"Secuestro",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Trata de personas",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Tráfico de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Violación",0,0,1,0,0,1,0,1,0,0,0,1,4
"Acatlán",2021,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Violencia familiar",0,1,5,2,2,1,1,1,0,1,3,3,20
"Acatlán",2022,"Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2022,"Abuso de confianza",0,0,0,2,0,0,0,0,0,0,0,0,2
"Acatlán",2022,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"Acatlán",2022,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2022,"Allanamiento de morada",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2022,"Amenazas",3,1,3,0,0,1,1,0,1,3,2,1,16
"Acatlán",2022,"Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2022,"Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2022,"Daño a la propiedad",1,0,0,1,0,0,0,1,0,1,0,0,4
"Acatlán",2022,"Delitos cometidos por servidores públicos",2,1,0,0,0,0,0,0,0,0,0,0,3
"Acatlán",2022,"Despojo",0,0,1,1,0,1,0,1,0,1,0,0,5
"Acatlán",2022,"Electorales",0,0,0,0,0,0,0,1,0,0,0,0,1
"Acatlán",2022,"Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0
